代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
sh601599,601599,浙文影业,3.26,-0.11,-3.264,3.260,3.270,3.37,3.36,3.36,3.24,21808800,71548843,15:00:03,29.636,2.471,378336.839678,378336.839678,1.87919,上交所
sh601003,601003,柳钢股份,3.85,-0.13,-3.266,3.850,3.860,3.98,4.0,4.02,3.85,19975589,77825790,15:00:02,14.808,1.08,1014175.381835,986675.382,0.77945,上交所
sh603036,603036,如通股份,13.33,-0.45,-3.266,13.320,13.330,13.78,13.78,13.85,13.24,4648600,62254609,15:00:00,26.137,1.949,274606.031325,274606.031325,2.25654,上交所
sz000948,000948,南天信息,13.33,-0.45,-3.266,13.320,13.330,13.78,13.78,13.87,13.24,5149257,69017999,15:00:00,142.719,1.918,519721.735742,518736.004903,1.32321,深交所
sz301668,301668,昊创瑞通,38.8,-1.31,-3.266,38.800,38.810,40.11,40.59,40.6,38.3,1155925,45030336,16:29:30,32.881,4.217,426800.0,94394.86324,4.75131,深交所
sh688418,688418,震有科技,44.4,-1.5,-3.268,44.390,44.400,45.9,45.45,46.71,44.0,5310310,238346869,15:34:59,-128.845,10.467,854942.57496,854942.57496,2.75782,上交所
sz001328,001328,登康口腔,30.49,-1.03,-3.268,30.480,30.490,31.52,31.37,32.06,30.45,1546300,47773991,15:00:00,29.038,3.336,524957.9162,493074.8281,0.95618,深交所
sh603022,603022,新通联,10.06,-0.34,-3.269,10.060,10.070,10.4,10.43,10.48,9.93,4824000,48470769,15:00:03,33.533,2.356,201200.0,201200.0,2.412,上交所
sh603551,603551,奥普科技,10.95,-0.37,-3.269,10.940,10.950,11.32,11.33,11.48,10.85,4104600,45650572,15:00:03,14.038,2.904,421293.20175,415972.59675,1.08049,上交所
sh688393,688393,安必平,21.26,-0.72,-3.276,21.180,21.260,21.98,21.95,22.15,21.05,1246306,26576292,15:00:01,-42.52,1.684,198924.928074,198924.928074,1.33198,上交所
sh688616,688616,西力科技,12.1,-0.41,-3.277,12.090,12.100,12.51,12.52,12.61,12.05,2348291,28710704,15:00:02,20.508,2.383,217047.70065,217047.70065,1.30913,上交所
sh688429,688429,时创能源,11.8,-0.4,-3.279,11.790,11.800,12.2,12.2,12.21,11.71,2701485,32102070,15:00:03,-14.217,3.661,472000.944,141396.17506,2.25448,上交所
sz300195,300195,长荣股份,5.9,-0.2,-3.279,5.900,5.910,6.1,6.12,6.13,5.82,10781800,63651938,16:29:45,103.873,0.936,249987.57604,185180.36829,3.43517,深交所
sz301266,301266,宇邦新材,25.07,-0.85,-3.279,25.060,25.070,25.92,26.01,26.16,24.66,3798275,95282590,16:29:00,92.852,1.98,358436.983755,340030.384181,2.80042,深交所
sh603079,603079,圣达生物,13.85,-0.47,-3.282,13.840,13.850,14.32,14.32,14.46,13.8,1815400,25311128,15:00:03,39.571,1.638,261806.02924,261806.02924,0.96038,上交所
sh605198,605198,安德利,55.98,-1.9,-3.283,55.980,56.000,57.88,57.88,58.91,55.55,3318000,187650770,15:00:01,58.313,6.559,1870784.424,1514460.528,1.22645,上交所
sh600513,600513,联环药业,17.08,-0.58,-3.284,17.080,17.090,17.66,17.66,17.76,16.67,10710251,182362975,15:00:02,-50.235,3.813,487559.30916,487559.30916,3.75198,上交所
sh603029,603029,天鹅股份,16.78,-0.57,-3.285,16.780,16.830,17.35,17.43,17.56,16.71,2189000,37088398,15:00:03,27.065,2.122,203611.876,203611.876,1.80399,上交所
sz300345,300345,华民股份,5.88,-0.2,-3.289,5.880,5.890,6.08,6.08,6.09,5.81,19134900,112577814,16:29:45,-20.417,8.478,341321.61966,282190.13466,3.98714,深交所
sh603028,603028,赛福天,7.92,-0.27,-3.297,7.910,7.920,8.19,8.18,8.36,7.83,5539418,43951427,15:00:03,-49.5,4.895,227335.68,225078.48,1.9492,上交所
sh605287,605287,德才股份,41.9,-1.43,-3.3,41.900,41.950,43.33,43.0,43.46,40.84,3675846,153454971,15:00:03,80.577,3.71,586600.0,586600.0,2.6256,上交所
sz300404,300404,博济医药,9.67,-0.33,-3.3,9.670,9.680,10.0,10.08,10.08,9.51,10664277,103352177,16:29:30,121.788,3.493,373015.616136,276089.989894,3.73514,深交所
